Player,Player ID,Team,Category,Scope,Current,Milestone,Away
Eugenio Suárez,553993,CIN,Home Runs,Season,25,30,5
Fernando Tatis Jr.,665487,SD,Home Runs,Season,25,30,5
Kyle Teel,691019,CWS,Home Runs,Season,5,10,5
Spencer Torkelson,679529,DET,Home Runs,Season,25,30,5
Jose Trevino,624431,CIN,Home Runs,Season,5,10,5
Matt Vierling,663837,DET,Home Runs,Season,5,10,5
Masyn Winn,691026,STL,Home Runs,Season,5,10,5
Masataka Yoshida,807799,BOS,Home Runs,Season,5,10,5
Willy Adames,642715,SF,Stolen Bases,Season,5,10,5
Pete Alonso,624413,BAL,Stolen Bases,Season,5,10,5
Jose Altuve,514888,HOU,Stolen Bases,Season,5,10,5
Randy Arozarena,668227,SEA,Stolen Bases,Season,25,30,5
Brett Baty,683146,NYM,Stolen Bases,Season,5,10,5
Dylan Beavers,687637,BAL,Stolen Bases,Season,5,10,5
Owen Caissie,683357,MIA,Stolen Bases,Season,5,10,5
Max Clark,703601,DET,Stolen Bases,Season,5,10,5
Jonah Cox,813841,SF,Stolen Bases,Season,15,20,5
A.J. Ewing,805999,NYM,Stolen Bases,Season,25,30,5
TJ Friedl,670770,CIN,Stolen Bases,Season,5,10,5
Luis García Jr.,671277,NYY,Stolen Bases,Season,5,10,5
Maikel Garcia,672580,KC,Stolen Bases,Season,5,10,5
Hunter Goodman,696100,COL,Stolen Bases,Season,5,10,5
Teoscar Hernández,606192,LAD,Stolen Bases,Season,5,10,5
Bryce Johnson,669369,SD,Stolen Bases,Season,5,10,5
Aaron Judge,592450,NYY,Stolen Bases,Season,5,10,5
Edouard Julien,666397,COL,Stolen Bases,Season,5,10,5
Kyle Karros,691720,COL,Stolen Bases,Season,5,10,5
Hyeseong Kim,808975,LAD,Stolen Bases,Season,5,10,5
Christian Koss,683766,SF,Stolen Bases,Season,5,10,5
Wyatt Langford,694671,TEX,Stolen Bases,Season,15,20,5
Jordan Lawlar,691783,AZ,Stolen Bases,Season,5,10,5
Royce Lewis,668904,MIN,Stolen Bases,Season,15,20,5
Daylen Lile,695734,WSH,Stolen Bases,Season,15,20,5
Nicky Lopez,670032,TEX,Stolen Bases,Season,5,10,5
Manny Machado,592518,SD,Stolen Bases,Season,5,10,5
Ben Malgeri,701162,DET,Stolen Bases,Season,5,10,5
Alejandro Osuna,696030,TEX,Stolen Bases,Season,5,10,5
Vinnie Pasquantino,686469,KC,Stolen Bases,Season,5,10,5
John Peck,807726,DET,Stolen Bases,Season,5,10,5
Sal Stewart,701398,CIN,Stolen Bases,Season,15,20,5
Trevor Story,596115,BOS,Stolen Bases,Season,5,10,5
Bryce Teodosio,669326,LAA,Stolen Bases,Season,5,10,5
Eli White,642201,BOS,Stolen Bases,Season,5,10,5
Jordan Beck,687597,COL,Total Bases,Season,45,50,5
Andrés Chaparro,665953,WSH,Total Bases,Season,95,100,5
Dylan Crews,686611,WSH,Total Bases,Season,145,150,5
Jimmy Crooks,699625,STL,Total Bases,Season,45,50,5
Adam Frazier,624428,LAA,Total Bases,Season,45,50,5
Randal Grichuk,545341,CWS,Total Bases,Season,145,150,5
Austin Martin,668885,MIN,Total Bases,Season,95,100,5
Isaac Paredes,670623,HOU,Total Bases,Season,245,250,5
Pedro Ramírez,699393,CHC,Total Bases,Season,95,100,5
José Tena,677588,WSH,Total Bases,Season,95,100,5
Tommy Troy,694371,AZ,Total Bases,Season,45,50,5
