Player,Player ID,Team,Category,Scope,Current,Milestone,Away
Corey Seager,608369,TEX,Home Runs,Season,19,20,1
Jose Siri,642350,LAA,Home Runs,Season,9,10,1
Tyler Soderstrom,691016,ATH,Home Runs,Season,19,20,1
Dansby Swanson,621020,CHC,Home Runs,Season,19,20,1
Luis Torrens,620443,NYM,Home Runs,Season,9,10,1
Trea Turner,607208,PHI,Home Runs,Season,19,20,1
Ildemaro Vargas,545121,AZ,Home Runs,Season,9,10,1
Donovan Walton,622268,ATH,Home Runs,Season,9,10,1
Jared Young,676724,NYM,Home Runs,Season,9,10,1
Sam Antonacci,803011,CWS,Stolen Bases,Season,19,20,1
Travis Bazzana,683953,CLE,Stolen Bases,Season,19,20,1
Kody Clemens,665019,MIN,Stolen Bases,Season,9,10,1
Jake Cronenworth,630105,SD,Stolen Bases,Season,9,10,1
Oneil Cruz,665833,PIT,Stolen Bases,Season,29,30,1
Elly De La Cruz,682829,CIN,Stolen Bases,Season,29,30,1
Jose Fernandez,699912,AZ,Stolen Bases,Season,9,10,1
Trent Grisham,663757,NYY,Stolen Bases,Season,9,10,1
Luke Keaschall,807712,MIN,Stolen Bases,Season,19,20,1
Jorge Mateo,622761,TB,Stolen Bases,Season,19,20,1
Matt McLain,680574,CIN,Stolen Bases,Season,19,20,1
Victor Mesa Jr.,683748,TB,Stolen Bases,Season,9,10,1
Josh Naylor,647304,SEA,Stolen Bases,Season,29,30,1
Nasim Nuñez,683083,WSH,Stolen Bases,Season,49,50,1
Joey Ortiz,687401,MIL,Stolen Bases,Season,9,10,1
Pedro Ramírez,699393,CHC,Stolen Bases,Season,9,10,1
Bryan Reynolds,668804,PIT,Stolen Bases,Season,9,10,1
Austin Riley,663586,ATL,Stolen Bases,Season,9,10,1
Casey Schmitt,669477,SF,Stolen Bases,Season,9,10,1
Jose Siri,642350,LAA,Stolen Bases,Season,9,10,1
Juan Soto,665742,NYM,Stolen Bases,Season,9,10,1
Lane Thomas,657041,ATL,Stolen Bases,Season,9,10,1
Brice Turang,668930,MIL,Stolen Bases,Season,19,20,1
Kahlil Watson,696135,CLE,Stolen Bases,Season,9,10,1
Francisco Alvarez,682626,NYM,Total Bases,Season,149,150,1
Jonathan Aranda,666018,TB,Total Bases,Season,249,250,1
Freddie Freeman,518692,LAD,Total Bases,Season,249,250,1
Rhys Hoskins,656555,CLE,Total Bases,Season,99,100,1
Ben Malgeri,701162,DET,Total Bases,Season,49,50,1
Max Muncy,691777,ATH,Total Bases,Season,99,100,1
Luis Rengifo,650859,SD,Total Bases,Season,99,100,1
Adley Rutschman,668939,BOS,Total Bases,Season,149,150,1
Dominic Smith,642086,ATL,Total Bases,Season,99,100,1
Myles Straw,664702,TOR,Total Bases,Season,99,100,1
Masyn Winn,691026,STL,Total Bases,Season,149,150,1
Sal Frelick,686217,MIL,Extra-Base Hits,Career,98,100,2
Bryson Stott,681082,PHI,Extra-Base Hits,Career,198,200,2
Ezequiel Tovar,678662,COL,Extra-Base Hits,Career,198,200,2
Jo Adell,666176,CLE,Extra-Base Hits,Season,48,50,2
Jonathan Aranda,666018,TB,Extra-Base Hits,Season,48,50,2
Gabriel Arias,672356,CHC,Extra-Base Hits,Season,8,10,2
Joey Bart,663698,CWS,Extra-Base Hits,Season,8,10,2
Osleivis Basabe,678545,SF,Extra-Base Hits,Season,8,10,2
Henry Bolte,703607,ATH,Extra-Base Hits,Season,28,30,2
Lawrence Butler,671732,ATH,Extra-Base Hits,Season,38,40,2
Owen Caissie,683357,MIA,Extra-Base Hits,Season,28,30,2
Jazz Chisholm Jr.,665862,NYY,Extra-Base Hits,Season,38,40,2
Carlos Cortes,666126,ATH,Extra-Base Hits,Season,28,30,2
Kaelen Culpepper,701785,MIN,Extra-Base Hits,Season,8,10,2
Yandy Díaz,650490,TB,Extra-Base Hits,Season,48,50,2
Jasson Domínguez,691176,NYY,Extra-Base Hits,Season,18,20,2
Ezequiel Duran,677649,TEX,Extra-Base Hits,Season,48,50,2
Drew Gilbert,687551,SF,Extra-Base Hits,Season,28,30,2
David Hamilton,666152,MIL,Extra-Base Hits,Season,18,20,2
Ke'Bryan Hayes,663647,CIN,Extra-Base Hits,Season,8,10,2
Nico Hoerner,663538,CHC,Extra-Base Hits,Season,38,40,2
Aaron Judge,592450,NYY,Extra-Base Hits,Season,28,30,2
Luke Keaschall,807712,MIN,Extra-Base Hits,Season,38,40,2
Joshua Kuroda-Grauer,811965,ATH,Extra-Base Hits,Season,8,10,2
Daylen Lile,695734,WSH,Extra-Base Hits,Season,58,60,2
