player_id,name,team,stolen_bases,caught_stealing,sb_pct,sb_opportunities
702284,Cole Young,SEA,2,3,40.0,0
656484,Tristan Gray,MIN,2,0,100.0,0
807799,Masataka Yoshida,BOS,2,0,100.0,0
608324,Alex Bregman,CHC,2,1,66.7,0
664702,Myles Straw,TOR,2,1,66.7,0
683737,Michael Busch,CHC,2,0,100.0,0
681987,Nate Eaton,BOS,2,0,100.0,0
701350,Roman Anthony,BOS,2,0,100.0,0
681297,Colton Cowser,BAL,2,2,50.0,0
665052,Griffin Conine,MIA,2,0,100.0,0
673357,Luis Robert Jr.,NYM,2,2,50.0,0
624641,Edmundo Sosa,PHI,2,0,100.0,0
677588,José Tena,WSH,2,0,100.0,0
596019,Francisco Lindor,NYM,2,1,66.7,0
669701,Josh Smith,TEX,2,1,66.7,0
686780,Pedro Pagés,STL,2,0,100.0,0
680474,Max Schuemann,NYY,2,2,50.0,0
663837,Matt Vierling,DET,2,2,50.0,0
666139,Josh Lowe,LAA,2,0,100.0,0
667670,Brent Rooker,ATH,2,0,100.0,0
694728,Brice Matthews,HOU,2,4,33.3,0
592206,Nick Castellanos,SD,2,0,100.0,0
687597,Jordan Beck,COL,2,1,66.7,0
656582,Connor Joe,SEA,2,0,100.0,0
672275,Patrick Bailey,CLE,2,0,100.0,0
672016,Denzel Clarke,ATH,2,0,100.0,0
690984,Petey Halpin,CLE,2,0,100.0,0
663728,Cal Raleigh,SEA,2,1,66.7,0
664059,Sam Haggerty,TEX,2,0,100.0,0
656413,Stuart Fairchild,CLE,2,0,100.0,0
680779,Henry Davis,PIT,2,1,66.7,0
660844,Leo Rivas,SEA,2,0,100.0,0
650490,Yandy Díaz,TB,1,0,100.0,0
640492,José Azócar,ATL,1,0,100.0,0
670541,Yordan Alvarez,HOU,1,0,100.0,0
661388,William Contreras,MIL,1,2,33.3,0
680777,Ryan Jeffers,MIN,1,0,100.0,0
673962,Josh Jung,TEX,1,1,50.0,0
502671,Paul Goldschmidt,NYY,1,0,100.0,0
682985,Riley Greene,DET,1,1,50.0,0
686894,Joey Wiemer,WSH,1,0,100.0,0
575929,Willson Contreras,BOS,1,1,50.0,0
687462,Spencer Horwitz,PIT,1,0,100.0,0
656811,Ryan O'Hearn,PIT,1,0,100.0,0
621043,Carlos Correa,HOU,1,0,100.0,0
689414,Liam Hicks,MIA,1,0,100.0,0
645277,Ozzie Albies,ATL,1,3,25.0,0
686527,Dominic Canzone,SEA,1,1,50.0,0
666126,Carlos Cortes,ATH,1,0,100.0,0
660821,Jesús Sánchez,TOR,1,1,50.0,0
680977,Brendan Donovan,SEA,1,1,50.0,0
663611,Nick Madrigal,LAA,1,1,50.0,0
642350,Jose Siri,LAA,1,1,50.0,0
666160,Mickey Moniak,COL,1,0,100.0,0
694203,Denzer Guzman,LAA,1,1,50.0,0
666211,Taylor Trammell,HOU,1,0,100.0,0
669743,Alex Call,LAD,1,1,50.0,0
571970,Max Muncy,LAD,1,0,100.0,0
595978,Austin Hedges,CLE,1,1,50.0,0
691740,Daniel Susac,SF,1,1,50.0,0
606466,Ketel Marte,AZ,1,0,100.0,0
701678,Hao-Yu Lee,DET,1,1,50.0,0
545121,Ildemaro Vargas,AZ,1,0,100.0,0
686948,Drake Baldwin,ATL,1,1,50.0,0
595879,Javier Báez,DET,1,1,50.0,0
519317,Giancarlo Stanton,NYY,1,0,100.0,0
664034,Ty France,SD,1,1,50.0,0
666182,Bo Bichette,NYM,1,0,100.0,0
656941,Kyle Schwarber,PHI,1,0,100.0,0
669397,Nick Allen,HOU,1,0,100.0,0
664068,Scott Kingery,CHC,1,0,100.0,0
696135,Kahlil Watson,CLE,1,1,50.0,0
694249,Cole Carrigg,COL,1,1,50.0,0
678218,Brandon Valenzuela,TOR,1,0,100.0,0
695600,Carter Jensen,KC,1,0,100.0,0
605137,Josh Bell,MIN,1,0,100.0,0
691016,Tyler Soderstrom,ATH,1,1,50.0,0
642708,Amed Rosario,NYY,1,0,100.0,0
682997,Tyler Callihan,PIT,1,0,100.0,0
808959,Munetaka Murakami,CWS,1,3,25.0,0
514888,Jose Altuve,HOU,1,2,33.3,0
643217,Andrew Benintendi,CWS,1,0,100.0,0
670042,Luke Raley,SEA,1,1,50.0,0
679845,Nick Loftin,KC,1,0,100.0,0
624424,Michael Conforto,CHC,1,0,100.0,0
643446,Jeff McNeil,ATH,1,2,33.3,0
677592,Everson Pereira,CWS,1,0,100.0,0
694208,Moisés Ballesteros,CHC,1,0,100.0,0
690976,Alex Freeland,LAD,1,0,100.0,0
683679,Jesus Rodriguez,SF,1,1,50.0,0
669065,Kyle Stowers,MIA,1,1,50.0,0
605141,Mookie Betts,LAD,1,2,33.3,0
642715,Willy Adames,SF,1,2,33.3,0
663494,Bryan Torres,STL,1,0,100.0,0
691781,Brady House,WSH,1,0,100.0,0
682987,Spencer Jones,NYY,1,0,100.0,0
695657,Colson Montgomery,CWS,1,1,50.0,0
655316,Andruw Monasterio,BOS,1,3,25.0,0
694388,Joey Loperfido,HOU,1,1,50.0,0
573262,Mike Yastrzemski,ATL,1,0,100.0,0
664761,Alec Bohm,PHI,1,0,100.0,0
641487,J.P. Crawford,SEA,1,3,25.0,0
666971,Lourdes Gurriel Jr.,AZ,1,0,100.0,0
687515,Colby Thomas,ATH,1,1,50.0,0
806068,Colt Emerson,SEA,1,1,50.0,0
676694,Jake Meyers,HOU,1,2,33.3,0
672356,Gabriel Arias,CLE,1,0,100.0,0
