player_id,name,team,sprint_speed,hp_to_1b,bolts,competitive_runs
640492,José Azócar,ATL,28.4,nan,2.0,8
669127,Shea Langeliers,ATH,28.4,4.52,nan,121
666160,Mickey Moniak,COL,28.4,4.37,1.0,81
686554,Oliver Dunn,TB,28.4,nan,1.0,6
665833,Oneil Cruz,PIT,28.4,4.37,8.0,100
702616,Jackson Holliday,BAL,28.4,4.29,2.0,57
669707,Jared Triolo,PIT,28.4,4.42,nan,104
621020,Dansby Swanson,CHC,28.4,4.32,1.0,150
683011,Anthony Volpe,NYY,28.4,4.34,nan,68
694671,Wyatt Langford,TEX,28.4,4.35,1.0,87
691026,Masyn Winn,STL,28.4,4.35,3.0,143
677956,Rece Hinds,MIA,28.4,nan,nan,9
669398,Gage Workman,DET,28.3,nan,nan,11
694388,Joey Loperfido,HOU,28.3,4.28,1.0,42
663538,Nico Hoerner,CHC,28.3,4.37,nan,206
641584,Jake Fraley,TB,28.3,4.27,1.0,28
683679,Jesus Rodriguez,SF,28.3,4.43,nan,26
694025,Felix Reyes,PHI,28.3,nan,nan,12
665862,Jazz Chisholm Jr.,NYY,28.3,4.24,7.0,97
800325,Luis Lara,MIL,28.3,nan,1.0,29
663837,Matt Vierling,DET,28.3,4.5,1.0,93
690924,Braxton Fulford,COL,28.3,nan,1.0,17
630105,Jake Cronenworth,SD,28.3,4.3,1.0,81
678246,Miguel Vargas,CWS,28.3,4.39,nan,125
606992,Eric Haase,SF,28.3,4.48,nan,21
677942,Blaze Alexander,BAL,28.3,4.43,3.0,86
828599,Lucas Spence,HOU,28.3,nan,nan,15
606192,Teoscar Hernández,LAD,28.3,4.41,1.0,101
683953,Travis Bazzana,CLE,28.3,4.24,3.0,114
678009,Parker Meadows,DET,28.3,nan,nan,16
681624,Andy Pages,LAD,28.3,4.38,nan,159
699393,Pedro Ramírez,CHC,28.3,4.25,2.0,55
686823,Will Brennan,SF,28.3,nan,nan,6
607043,Brandon Nimmo,TEX,28.3,4.22,7.0,160
687529,Grant McCray,SF,28.3,nan,5.0,12
696135,Kahlil Watson,CLE,28.3,4.3,nan,27
672761,Wenceel Pérez,DET,28.2,4.28,nan,69
683002,Gunnar Henderson,BAL,28.2,4.25,2.0,172
669364,Xavier Edwards,MIA,28.2,4.23,4.0,181
669369,Bryce Johnson,SD,28.2,nan,1.0,20
803011,Sam Antonacci,CWS,28.2,4.32,nan,151
592663,J.T. Realmuto,PHI,28.2,4.44,nan,108
701678,Hao-Yu Lee,DET,28.2,4.41,nan,72
805808,Kevin McGonigle,DET,28.2,4.36,3.0,161
683357,Owen Caissie,MIA,28.2,4.29,nan,65
669699,Braden Shewmake,MIL,28.2,4.43,nan,32
679845,Nick Loftin,KC,28.2,4.52,nan,117
687515,Colby Thomas,ATH,28.2,4.33,nan,34
690993,Colt Keith,DET,28.2,4.33,1.0,112
650489,Willi Castro,COL,28.2,4.27,1.0,115
682729,Jonatan Clase,TOR,28.2,nan,nan,8
664059,Sam Haggerty,TEX,28.2,nan,1.0,16
805249,Otto Kemp,PHI,28.2,nan,nan,6
687597,Jordan Beck,COL,28.2,4.41,nan,28
669016,Brandon Marsh,PHI,28.1,4.39,nan,128
668804,Bryan Reynolds,PIT,28.1,4.38,nan,162
664954,Brett Sullivan,COL,28.1,4.36,nan,51
810938,Ben Williamson,TB,28.1,4.5,nan,121
543760,Marcus Semien,NYM,28.1,4.43,nan,105
681393,Connor Norby,MIA,28.1,4.5,nan,74
677800,Wilyer Abreu,BOS,28.1,4.3,3.0,138
686765,Nick Sogard,BOS,28.1,nan,nan,27
675659,Greg Jones,MIL,28.1,nan,5.0,5
676609,José Caballero,NYY,28.1,4.26,nan,118
656305,Matt Chapman,SF,28.1,4.44,nan,133
666176,Jo Adell,LAA,28.0,4.53,nan,146
672012,Tyler Black,MIL,28.0,nan,nan,14
807747,Rikuu Nishida,CWS,28.0,nan,2.0,13
691781,Brady House,WSH,28.0,4.44,nan,76
666139,Josh Lowe,LAA,28.0,4.3,2.0,48
669477,Casey Schmitt,SF,28.0,4.53,nan,114
676391,Ernie Clement,TOR,28.0,4.34,1.0,190
681546,James Outman,DET,28.0,4.28,1.0,55
682997,Tyler Callihan,PIT,28.0,nan,nan,28
699013,Esmerlyn Valdez,PIT,28.0,4.54,nan,43
702332,Caleb Durbin,BOS,28.0,4.42,nan,171
805904,Zach Cole,HOU,28.0,nan,1.0,15
677870,Leo Jiménez,MIA,28.0,4.47,nan,51
641933,Tyler O'Neill,BAL,28.0,4.5,nan,55
691373,Jhostynxon Garcia,PIT,28.0,4.37,nan,18
657656,Ramón Laureano,SD,28.0,4.3,nan,59
678662,Ezequiel Tovar,COL,28.0,4.4,nan,117
596103,Austin Slater,TB,27.9,4.43,nan,26
676694,Jake Meyers,HOU,27.9,4.49,nan,52
678545,Osleivis Basabe,SF,27.9,nan,nan,5
681297,Colton Cowser,BAL,27.9,4.23,nan,68
683748,Victor Mesa Jr.,TB,27.9,4.32,nan,36
680779,Henry Davis,PIT,27.9,4.51,nan,70
656716,Zach McKinstry,DET,27.9,4.31,nan,112
702284,Cole Young,SEA,27.9,4.3,nan,152
668952,Ryan Kreidler,MIN,27.9,4.43,nan,89
667472,Dane Myers,CIN,27.9,4.43,nan,60
664023,Ian Happ,CHC,27.9,4.37,nan,142
596115,Trevor Story,BOS,27.9,4.41,nan,64
701305,Zach Dezenzo,HOU,27.9,4.51,nan,35
691777,Max Muncy,ATH,27.9,4.47,nan,53
691723,Coby Mayo,BAL,27.9,4.48,nan,74
805300,Jakob Marsee,MIA,27.9,4.38,nan,112
678577,Junior Perez,CWS,27.9,nan,1.0,8
663586,Austin Riley,ATL,27.9,4.55,nan,134
670764,Taylor Walls,TB,27.9,4.42,nan,97
695336,Thomas Saggese,STL,27.9,4.32,nan,28
665019,Kody Clemens,MIN,27.8,4.32,1.0,112
695600,Carter Jensen,KC,27.8,4.36,nan,117
805347,Jim Jarvis,ATL,27.8,4.34,nan,50
673548,Seiya Suzuki,CHC,27.8,4.4,nan,122
694203,Denzer Guzman,LAA,27.8,4.47,nan,57
811965,Joshua Kuroda-Grauer,ATH,27.8,4.44,nan,37
700246,Carson Williams,TB,27.8,nan,nan,10
668885,Austin Martin,MIN,27.8,4.49,nan,128
677950,Alek Thomas,AZ,27.8,4.29,nan,39
669743,Alex Call,LAD,27.8,4.35,nan,65
687263,Zach Neto,LAA,27.8,4.4,nan,122
656775,Cedric Mullins,TB,27.8,4.34,3.0,77
642715,Willy Adames,SF,27.8,4.42,nan,120
669701,Josh Smith,TEX,27.7,4.4,nan,52
680474,Max Schuemann,NYY,27.7,nan,nan,37
663697,Jonathan India,KC,27.7,nan,nan,14
677588,José Tena,WSH,27.7,4.25,1.0,89
665926,Andrés Giménez,TOR,27.7,4.29,1.0,118
668904,Royce Lewis,MIN,27.7,4.34,nan,96
656577,Alex Jackson,MIN,27.7,4.51,nan,25
670032,Nicky Lopez,TEX,27.7,4.22,nan,89
671289,Tyler Freeman,COL,27.7,4.5,nan,112
457705,Andrew McCutchen,TEX,27.7,4.51,nan,20
675961,Alika Williams,ATH,27.7,4.46,nan,42
687231,Darell Hernaiz,ATH,27.7,4.33,nan,40
676369,Nelson Velázquez,STL,27.7,4.46,nan,29
694377,Nick Yorke,PIT,27.7,4.53,nan,36
672580,Maikel Garcia,KC,27.7,4.5,nan,117
676724,Jared Young,NYM,27.7,4.36,nan,85
682657,Angel Martínez,CLE,27.7,4.41,nan,99
677592,Everson Pereira,CWS,27.7,4.41,nan,30
608070,José Ramírez,CLE,27.6,4.36,nan,114
669242,Tommy Edman,LAD,27.6,4.37,nan,54
642215,Weston Wilson,SEA,27.6,4.57,nan,28
682177,Daniel Schneemann,CLE,27.6,4.42,nan,87
694514,Sterlin Thompson,COL,27.6,4.43,nan,30
660271,Shohei Ohtani,LAD,27.6,4.23,nan,139
802139,JJ Wetherholt,STL,27.6,4.24,nan,169
667670,Brent Rooker,ATH,27.6,4.57,nan,47
686452,Drew Millas,WSH,27.6,4.41,nan,57
671739,Michael Harris II,ATL,27.5,4.29,1.0,169
673490,Ha-Seong Kim,ATL,27.5,4.53,nan,21
694374,Tim Tawa,AZ,27.5,4.48,nan,61
679822,Justin Foscue,TEX,27.5,4.49,nan,41
663457,Lars Nootbaar,STL,27.5,4.31,nan,68
686555,Isaac Collins,KC,27.5,4.45,1.0,124
657136,Connor Wong,BOS,27.5,4.48,nan,70
668709,JJ Bleday,CIN,27.5,4.41,nan,89
656413,Stuart Fairchild,CLE,27.5,nan,1.0,5
670156,Miles Mastrobuoni,SEA,27.5,nan,nan,9
641355,Cody Bellinger,NYY,27.5,4.2,nan,132
664056,Harrison Bader,SF,27.5,4.44,nan,38
660710,Rodolfo Durán,SD,27.5,4.47,nan,35
643396,Isiah Kiner-Falefa,BOS,27.4,4.43,nan,57
692216,CJ Kayfus,CLE,27.4,nan,nan,9
693307,Dillon Dingler,DET,27.4,4.52,nan,150
663494,Bryan Torres,STL,27.4,4.36,nan,34
701350,Roman Anthony,BOS,27.4,4.42,nan,46
621493,Taylor Ward,BAL,27.4,4.5,nan,157
514888,Jose Altuve,HOU,27.4,4.37,8.0,147
660844,Leo Rivas,SEA,27.4,nan,nan,35
808982,Jung Hoo Lee,SF,27.4,4.31,nan,208
691785,Marcelo Mayer,BOS,27.4,4.45,nan,92
695670,Harry Ford,WSH,27.4,nan,nan,11
664728,Kyle Isbel,KC,27.4,4.48,nan,64
682634,Kevin Alcántara,CHC,27.4,nan,nan,6
687551,Drew Gilbert,SF,27.4,4.36,nan,95
666211,Taylor Trammell,HOU,27.4,4.3,nan,50
662139,Daulton Varsho,HOU,27.4,4.31,nan,136
682663,Agustín Ramírez,MIA,27.3,4.67,nan,50
666310,Bo Naylor,CLE,27.3,4.41,nan,25
