Team,Batter ID,Player Name,Position,Injury Description,Expected Return,Severity,Status
CWS,623211,Huascar Brazobán,P,Left lat strain,,🟡,Injured 15-Day
CWS,663698,Joey Bart,C,Fifth metacarpal fracture in his left hand.,,🔴,Injured 10-Day
CWS,673929,Jordan Leasure,P,Right flexor strain.,,🟡,Injured 60-Day
CWS,681066,Ky Bush,P,Injured 60-Day,,⚪,Injured 60-Day
CWS,691019,Kyle Teel,C,Left ankle sprain.,,🟡,Injured 10-Day
CWS,678024,Mike Vasil,P,Tommy John surgery recovery.,,🔴,Injured 60-Day
CWS,672860,Prelander Berroa,P,Tommy John surgery recovery,,🔴,Injured 60-Day
CWS,695020,Tanner Murray,LF,Left shoulder dislocation.,,⚪,Injured 60-Day
DET,690544,Bailey Horn,P,Left elbow arthroscopy recovery,,⚪,Injured 60-Day
DET,676428,Brant Hurter,P,Lumbar spine inflammation.,,🟡,Injured 60-Day
DET,572143,Burch Smith,P,Right shoulder inflammation.,,🟡,Injured 60-Day
DET,656427,Jack Flaherty,P,Right flexor inflammation.,,🟡,Injured 15-Day
DET,434378,Justin Verlander,P,Left hip inflammation.,,🟡,Injured 60-Day
DET,681481,Kerry Carpenter,RF,Left foot plantar fasciitis,,⚪,Injured 10-Day
DET,663837,Matt Vierling,CF,Left adductor strain,,🟡,Injured 10-Day
DET,678009,Parker Meadows,CF,Left radius fracture.,,🔴,Injured 60-Day
DET,681857,Reese Olson,P,Right Shoulder Labral Repair,,⚪,Injured 60-Day
DET,682985,Riley Greene,LF,Right hamstring strain.,,🟡,Injured 10-Day
DET,700242,Trey Sweeney,SS,Right shoulder strain,,🟡,Injured 60-Day
DET,672761,Wenceel Pérez,RF,Left orbital fracture.,,🔴,Injured 60-Day
DET,676684,Will Vest,P,Right posterior elbow inflammation.,,🟡,Injured 60-Day
HOU,687888,Brandon Walter,P,Left elbow surgery recovery,,🔴,Injured 60-Day
HOU,694728,Brice Matthews,CF,Left knee sprain.,,🟡,Injured 60-Day
HOU,621043,Carlos Correa,SS,Left ankle tendon injury.,,⚪,Injured 60-Day
HOU,681347,Mike Burrows,P,Right elbow neuritis.,,⚪,Injured 15-Day
KC,679525,Alec Marsh,P,Right shoulder impingement.,,⚪,Injured 60-Day
KC,694360,Beck Way,P,Low back spasms/tightness.,,🟢,Injured 15-Day
KC,608032,Carlos Estévez,P,Left foot contusion.,,🟢,Injured 60-Day
KC,666142,Cole Ragans,P,Left elbow impingement.,,⚪,Injured 60-Day
KC,657756,Connor Seabold,P,Right lat strain.,,🟡,Injured 60-Day
KC,663704,James McArthur,P,Right elbow inflammation.,,🟡,Injured 60-Day
KC,663697,Jonathan India,2B,Left shoulder subluxation.,,⚪,Injured 60-Day
KC,679883,Luinder Avila,P,Right forearm tightness.,,🟢,Injured 60-Day
KC,672580,Maikel Garcia,3B,Left hamstring strain.,,🟡,Injured 10-Day
KC,686681,Michael Massey,2B,Concussion.,,⚪,Injured 7-Day
KC,683232,Nick Mears,P,Right shoulder impingement.,,⚪,Injured 60-Day
KC,663568,Stephen Kolek,P,Right flexor strain.,,🟡,Injured 60-Day
KC,664062,Tony Gonsolin,P,Right elbow surgery.,,🔴,Injured 15-Day
LAA,543685,Anthony Rendon,3B,Left hip labrum surgery.,,🔴,Injured 60-Day
LAA,672569,Gustavo Campero,OF,Right hamstring strain.,,🟡,Injured 10-Day
LAA,686799,Jack Kochanowicz,P,Right elbow inflammation.,,🟡,Injured 60-Day
LAA,694384,Nolan Schanuel,1B,Right intercostal muscle strain,,🟡,Injured 10-Day
LAA,596112,Robert Stephenson,P,Right elbow inflammation.,,🟡,Injured 60-Day
LAA,696147,Sam Bachman,P,Right forearm radial nerve inflammation.,,🟡,Injured 15-Day
LAA,696519,Samy Natera Jr.,P,Low back muscle spasms.,,⚪,Injured 15-Day
LAA,665861,Sebastián Rivero,C,Left hamate fracture.,,🔴,Injured 60-Day
LAA,641312,Shaun Anderson,P,Right shoulder inflammation,,🟡,Injured 15-Day
LAA,685133,Wade Meckler,LF,Concussion,,⚪,Injured 7-Day
LAA,660162,Yoán Moncada,3B,Right knee inflammation.,,🟡,Injured 60-Day
LAD,681624,Andy Pages,CF,Left hand fracture.,,🔴,Injured 10-Day
LAD,676508,Ben Casparius,P,Right shoulder inflammation,,🟡,Injured 60-Day
LAD,595014,Blake Treinen,P,Right elbow inflammation.,,🟡,Injured 60-Day
LAD,676272,Bobby Miller,P,Right shoulder soreness.,,🟡,Injured 60-Day
LAD,660813,Brusdar Graterol,P,Injured 60-Day,,⚪,Injured 60-Day
LAD,687221,Dalton Rushing,C,Right elbow inflammation.,,🟡,Injured 10-Day
LAD,621242,Edwin Díaz,P,Neck inflammation.,,🟡,Injured 15-Day
LAD,694813,Gavin Stone,P,Right shoulder inflammation.,,🟡,Injured 60-Day
LAD,664776,Jake Cousins,P,Injured 60-Day,,⚪,Injured 60-Day
LAD,680736,Justin Wrobleski,P,Left forearm inflammation.,,🟡,Injured 15-Day
LAD,663460,Kris Bubic,P,Injured 60-Day,,⚪,Injured 60-Day
LAD,808963,Roki Sasaki,P,Right middle finger blister,,⚪,Injured 15-Day
